,Domain name,Company name,Twitter,Facebook,Domain_valid,Twitter_valid,Facebook_valid,response_time,error_type
19,legrandchene.eu,le grand chêne,unknown,legrandchene,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
20,vacances-chataigneraie.com,village vacances & spa la chataîgneraie,unknown,unknown,TRUE,TRUE,TRUE,3.073429,
21,equitours.se,equi tours ab,unknown,equitours.se,TRUE,TRUE,TRUE,1.059329,
22,sushizen.ch,sushizen,unknown,unknown,TRUE,TRUE,TRUE,0.141756,
23,chateaudesaintmartin.com,châteaudesaintmartin,ch_saintmartin,chateaudesaintmartin,TRUE,TRUE,TRUE,0.347141,
24,passy-mont-blanc.com,passy mont-blanc tourisme,unknown,passymontblanc,TRUE,TRUE,TRUE,1.593283,
25,mansouria.fr,mansouria,unknown,mansouria-200468706645509,TRUE,TRUE,FALSE,Non-functional (Timeout Error),
26,sensuniques.fr,restaurant sens uniques,sens_uniques,sensuniques,TRUE,TRUE,TRUE,1.425306,
27,chateaudesdemoiselles.com,chateaudesdemoiselles,unknown,chateaudesdemoiselles,TRUE,TRUE,TRUE,0.065259,
28,marcheauxvins.com,marché aux vins - vins de bourgogne,unknown,unknown,TRUE,TRUE,TRUE,-1,403
29,brusselskitchen.com,brussels' kitchen,brusselskitchen,unknown,TRUE,TRUE,TRUE,1.412336,
30,jacksbarmeribel.com,jacks méribel,jacksbarmeribel,jacksbarmeribel,TRUE,TRUE,TRUE,1.325142,
31,casino-gujanmestras.fr,casino gujan,unknown,casinogujanmestras,TRUE,TRUE,TRUE,1.154348,
32,lescocottesevents.com,les cocottes events,unknown,lescocottesevents,TRUE,TRUE,TRUE,0.869821,
33,argenson.com,argenson,unknown,unknown,TRUE,TRUE,TRUE,2.609514,
34,massamier-la-mignarde.com,massamier la mignarde,unknown,massamierlamignarde,TRUE,TRUE,TRUE,0.545037,
35,hotel-leplacedarmes.com,hotel le place d'armes,unknown,hotelleplacedarmes,TRUE,TRUE,TRUE,0.354344,
36,hotelaigledesneiges.com,hôtel l'aigle des neiges,unknown,hotelaigledesneiges,TRUE,TRUE,TRUE,0.347319,
37,terre-vaudoise.ch,terre vaudoise,unknown,terrevaudoise,TRUE,TRUE,TRUE,2.673496,
38,domaine-lafage.com,domaine lafage,unknown,domaine.lafage,TRUE,TRUE,TRUE,0.38632,
39,leccs.com,peinture sur céramique et café,unknown,unknown,TRUE,TRUE,TRUE,3.144395,
40,safrandugatinais.fr,safran du gâtinais,unknown,unknown,TRUE,TRUE,TRUE,-1,403
41,keisukematsushima.com,keisuke matsushima,unknown,keisuke.matsushima,TRUE,TRUE,TRUE,1.394921,
42,rougemaple.com,blanc par rouge,rougemaple,blancparrouge,TRUE,TRUE,TRUE,0.085879,
43,auvieuxsaintmartin.be,au vieux saint martin,unknown,auvieuxsaintmartin,TRUE,TRUE,TRUE,0.972357,
44,cavedevouvray.com,cave de vouvray,unknown,unknown,TRUE,TRUE,TRUE,1.530896,
45,chateaucaillou.com,chateau caillou,chcaillou,chateaucaillousauternes,TRUE,TRUE,TRUE,1.919078,
46,chateauhautgoujon.com,château haut-goujon,ch_haut_goujon,unknown,TRUE,TRUE,TRUE,0.177051,
47,morelchocolatier.com,morel chocolatier,unknown,christophemorelchocolatier,TRUE,TRUE,TRUE,0.173679,
48,tendacayou.com,tendacayou ecolodge & spa,tendacayou,ecolodge.spa.guadeloupe.tendacayou,TRUE,TRUE,TRUE,0.343665,
49,croix-duplex.ch,domaine croix duplex,unknown,domainecroixduplex,TRUE,TRUE,TRUE,0.169826,
50,deco-americaine.fr,deco americaine & goodies,unknown,unknown,TRUE,TRUE,TRUE,0.346619,
51,cave-joly.ch,vignerons à lavaux,unknown,cavejoly,TRUE,TRUE,TRUE,0.195215,
52,cadet-de-gascogne.com,restaurant au cadet de gascogne montmartre,unknown,cadetdegascognemontmartre,TRUE,TRUE,TRUE,1.975075,
53,massanois.com,massanois,massanois,massanoisllc,TRUE,TRUE,TRUE,1.783765,
54,cru-hopital.ch,cru de l'hôpital,unknown,cruhopitalvully,TRUE,TRUE,TRUE,2.036096,
55,jesuisunenfantterrible.com,les enfants terribles,unknown,jesuisunenfantterrible,TRUE,TRUE,TRUE,0.512809,
56,lelagon.nc,hôtel le lagon nouméa,unknown,lelagonnoumea,TRUE,TRUE,TRUE,1.992097,
57,restauration-nouvelle.be,restauration nouvelle,unknown,restaurationnouvelle,TRUE,TRUE,TRUE,0.332363,
58,lucana.be,b!,unknown,lucanawanze,TRUE,TRUE,TRUE,0.871146,
59,cookandbook.com,cook & book,unknown,cookandbook,TRUE,TRUE,TRUE,1.580372,
60,letirebouchon.fr,le tire-bouchon,letirebouchon67,winstubletirebouchon,TRUE,TRUE,TRUE,0.395686,
61,lesperrieres.ch,cave & domaine les perrières,unknown,domainelesperrieres,TRUE,TRUE,TRUE,0.105346,
62,restaurantmaestro.com,restaurant maestro,unknown,restaurant.maestro.st.sauveur,TRUE,TRUE,TRUE,1.004561,
63,lembertfoiesgras.com,maison lembert foies gras,unknown,unknown,TRUE,TRUE,TRUE,2.659945,
64,camping-oliviers.com,camping les oliviers,unknown,unknown,TRUE,TRUE,TRUE,-1,404
65,chateaudevilla.ch,château de villa,unknown,chateaudevilla,TRUE,TRUE,TRUE,3.666609,
66,hdefrance.com,hôtel de france,unknown,unknown,TRUE,TRUE,TRUE,0.415101,
67,aubergesaint-gabriel.com,auberge saint-gabriel,aubergesaintgab,lauberge.saintgabriel,TRUE,TRUE,TRUE,0.24229,
68,boco.fr,boco,unknown,bocochefs,TRUE,TRUE,TRUE,2.834582,
69,chateaubromont.com,domaine château-bromont,chateaubromont,domaine.chateau.bromont,TRUE,TRUE,TRUE,2.081347,
70,le-sixiemesens.fr,le 6ème sens,unknown,lesixiemesensrouen,TRUE,TRUE,TRUE,0.141246,
71,petit-jardin.com,petit jardin,unknown,restaurantlepetitjardin,TRUE,TRUE,TRUE,4.170449,
72,aeroporthotel.com,autres activités,unknown,aeroporthotel.montpellier.mediterranee,TRUE,TRUE,TRUE,1.614392,
73,lecoupdegrace.ca,le coup de grâce,unknown,lecoupdegrace.ca,TRUE,TRUE,TRUE,0.218812,
74,cantinevagabonde.fr,"ateliers de cuisine végétal, bio et gourmand",cantinebio,cantinevagabonde,TRUE,TRUE,TRUE,0.645955,
75,labete.ca,la bête steakhouse,unknown,labetesteakhouse,TRUE,TRUE,TRUE,1.281614,
76,cavedegeneve.ch,la cave de genève,unknown,lacavedegeneve,TRUE,TRUE,TRUE,-1,403
77,moko.fi,moko market café & store,mokomarket,mokomarket,TRUE,TRUE,TRUE,0.296198,
78,restaurantcabanoix.com,restaurant cabanoix,unknown,unknown,TRUE,TRUE,TRUE,-1,403
79,lafineheure.fr,la fine heure,unknown,lafineheure,TRUE,TRUE,TRUE,0.390091,
80,grill.se,grill,unknown,grillstockholm,TRUE,TRUE,TRUE,2.015805,
81,lecigalon.com,le cigalon,unknown,lecigalonplage,TRUE,TRUE,TRUE,0.719505,
82,rivercafe.fr,rivercafe,lerivercafe,lerivercafe,TRUE,TRUE,TRUE,0.322559,
83,vinealove.com,vinealove,vinealovefrance,vinealovefrance,TRUE,TRUE,TRUE,0.542449,
84,vivacook.be,vivacook,vivacook,vivacookliege,TRUE,TRUE,TRUE,2.192479,
85,uchitomi.ch,uchitomi,unknown,uchitomi.ch,TRUE,TRUE,TRUE,0.174679,
86,jshs.fr,jet systems,unknown,jet-systems-helicopteres-services-139751449476439,TRUE,TRUE,FALSE,-1,403
87,caffuccino.com,caffuccino,lescaffuccino,caffuccino,TRUE,TRUE,TRUE,0.669582,
88,molards.ch,domaine des molards,unknown,domainedesmolards,TRUE,TRUE,TRUE,0.190597,
89,tiffanyhotel.ch,tiffany hôtel,tiffany_hotel,tiffanyhotelgeneva,TRUE,TRUE,TRUE,0.223953,
90,lejardinenville.fr,le jardin en ville,unknown,lejardinenville,TRUE,TRUE,TRUE,-1,403
91,beauxvillages.be,les plus beaux villages de wallonie,unknown,unknown,TRUE,TRUE,TRUE,2.375727,
92,secondcup.com,second cup,secondcupcanada,unknown,TRUE,TRUE,TRUE,0.998271,
93,bienbar.no,bien restaurant,unknown,bienbar.no,TRUE,TRUE,TRUE,0.357769,
94,restaurantazimut.com,chef françois moureaux,unknown,unknown,TRUE,TRUE,TRUE,1.602061,
95,marycherry.fr,mary cherry,marycherrybakes,marycherrybakes,TRUE,TRUE,TRUE,0.26197,
96,camarine.com,la camarine,la_camarine,lacamarine,TRUE,TRUE,TRUE,3.753191,
97,leysin.ch,leysin,unknown,unknown,TRUE,TRUE,TRUE,0.108509,
98,smallwinemakers.ca,small winemakers col,smallwinemakers,smallwinemakerscollection,TRUE,TRUE,TRUE,-1,403
